날짜,CD91일금리,항목명,단위
2017-08-11,1.39,CD(91일),연%
2017-08-14,1.39,CD(91일),연%
2017-08-16,1.39,CD(91일),연%
2017-08-17,1.39,CD(91일),연%
2017-08-18,1.39,CD(91일),연%
2017-08-21,1.39,CD(91일),연%
2017-08-22,1.39,CD(91일),연%
2017-08-23,1.39,CD(91일),연%
2017-08-24,1.39,CD(91일),연%
2017-08-25,1.39,CD(91일),연%
2017-08-28,1.39,CD(91일),연%
2017-08-29,1.38,CD(91일),연%
2017-08-30,1.38,CD(91일),연%
2017-08-31,1.38,CD(91일),연%
2017-09-01,1.38,CD(91일),연%
2017-09-04,1.38,CD(91일),연%
2017-09-05,1.38,CD(91일),연%
2017-09-06,1.38,CD(91일),연%
2017-09-07,1.38,CD(91일),연%
2017-09-08,1.38,CD(91일),연%
2017-09-11,1.38,CD(91일),연%
2017-09-12,1.38,CD(91일),연%
2017-09-13,1.38,CD(91일),연%
2017-09-14,1.38,CD(91일),연%
2017-09-15,1.38,CD(91일),연%
2017-09-18,1.38,CD(91일),연%
2017-09-19,1.38,CD(91일),연%
2017-09-20,1.38,CD(91일),연%
2017-09-21,1.38,CD(91일),연%
2017-09-22,1.38,CD(91일),연%
2017-09-25,1.38,CD(91일),연%
2017-09-26,1.38,CD(91일),연%
2017-09-27,1.38,CD(91일),연%
2017-09-28,1.38,CD(91일),연%
2017-09-29,1.38,CD(91일),연%
2017-10-10,1.38,CD(91일),연%
2017-10-11,1.38,CD(91일),연%
2017-10-12,1.38,CD(91일),연%
2017-10-13,1.38,CD(91일),연%
2017-10-16,1.38,CD(91일),연%
2017-10-17,1.38,CD(91일),연%
2017-10-18,1.38,CD(91일),연%
2017-10-19,1.38,CD(91일),연%
2017-10-20,1.38,CD(91일),연%
2017-10-23,1.38,CD(91일),연%
2017-10-24,1.38,CD(91일),연%
2017-10-25,1.38,CD(91일),연%
2017-10-26,1.38,CD(91일),연%
